x,y,token
-7.8250375,-57.617886,[
-63.032276,-6.587792,Emma
-32.03448,27.16998,by
-63.02305,-5.3629866,Jane
-7.862325,-57.57036,]
-11.557642,-38.185623,I
-7.856714,-57.73348,CHAPTER
-63.06255,-4.4309106,Woodhouse
-32.75936,26.692207,","
-47.39507,-34.685802,handsome
-44.724884,-33.64086,clever
-32.395493,26.755905,and
27.479328,-0.8694226,rich
-32.234318,27.016527,with
-31.521671,26.0023,a
-47.359085,-31.574558,comfortable
-51.91238,-3.8302355,home
-24.74528,-27.040428,happy
-46.05047,-23.899895,disposition
-36.468903,19.270424,seemed
-32.50832,26.54549,to
-31.525347,-11.220708,unite
-22.321821,15.749034,some
-32.136494,27.014784,of
-32.13204,26.716066,the
-17.730286,-30.664223,best
29.511173,-15.660008,blessings
-40.554592,-20.353764,existence
-32.73725,26.650724,;
-37.035545,19.371399,had
55.4651,20.45904,lived
-45.644108,-0.16563635,nearly
54.065067,22.449207,twenty
-1.0560162,46.874126,-
-14.463168,14.421837,one
55.02262,21.29351,years
-32.107838,27.29959,in
1.9589335,-16.615282,world
-25.218388,-31.529203,very
-41.06214,34.101067,little
-37.814705,-21.680187,distress
-3.445046,19.975681,or
27.915861,-25.2228,vex
-55.298973,14.225457,her
-32.949924,25.800936,.
-55.349995,14.234053,She
-36.61715,19.518684,was
61.330036,-20.9709,youngest
53.41296,24.160124,two
59.119816,-10.8035345,daughters
-24.090073,-1.1904716,most
-56.44581,-18.520847,affectionate
-21.45346,-11.545066,indulgent
59.7864,-19.440239,father
-46.434135,-26.063782,consequence
59.805054,-19.530918,sister
-7.173084,-38.035683,'
-16.242992,13.989761,s
-44.909714,-19.400059,marriage
-50.404274,-7.1419463,been
-55.41843,11.761943,mistress
-34.575523,24.741512,his
49.848415,11.1447525,house
-31.925087,27.257711,from
-54.529213,2.6319268,early
-48.278503,-6.8086042,period
-45.829594,-16.282871,Her
59.790985,-19.505938,mother
60.3563,-9.8953085,died
-25.177017,-31.52444,too
-15.48242,40.283936,long
-11.220846,-14.46727,ago
-33.011745,25.08493,for
-37.11593,19.343895,have
-35.14445,9.726481,more
-35.1726,9.77299,than
-31.306929,25.868057,an
24.493969,-19.59584,remembrance
-31.09261,-1.4989507,caresses
2.3140523,-19.825956,place
-46.85799,-7.9650364,supplied
-45.87504,-32.102783,excellent
41.876534,-7.988836,woman
-34.49575,18.267536,as
-27.079792,-35.597435,governess
-35.319435,19.741682,who
29.913195,-1.870064,fallen
-39.129906,11.349284,short
-48.39836,-24.103416,affection
15.594893,12.296147,Sixteen
-63.114346,-4.618102,Miss
-27.441952,-42.608093,Taylor
-63.294662,-2.40204,Mr
62.587555,-11.225272,family
-34.54735,-34.105984,less
-27.198301,-35.636665,friend
-44.63353,-33.988174,fond
19.256987,-4.089899,both
-32.913887,25.006886,but
-47.774532,-31.601267,particularly
-6.02636,-1.0174695,Between
-32.69604,24.769468,it
-50.55411,-21.688389,intimacy
-59.97411,2.9972389,sisters
48.68182,-24.479626,Even
-32.959675,18.226137,before
-48.020847,2.8861914,ceased
13.553746,-24.937885,hold
52.164566,-8.341991,office
-40.17374,6.271805,mildness
-52.881226,-30.159113,temper
-26.508282,-31.59332,hardly
-50.82278,-32.713715,allowed
-29.585522,-35.82605,impose
-22.396719,-28.64536,any
-34.34891,-31.934319,restraint
22.66874,26.72943,shadow
-36.29178,-19.67068,authority
-19.53459,-12.59502,being
-36.26073,21.676962,now
-49.80947,4.6453896,passed
-29.50653,51.871506,away
-23.070913,29.643892,they
1.5317351,-4.8069615,living
42.25278,0.9304806,together
-32.309593,-2.7530773,mutually
-45.630825,-29.832245,attached
-24.973001,-42.61425,doing
-9.940369,-24.128843,just
-17.14966,-29.440748,what
-55.2811,14.183,she
-28.351255,-32.552166,liked
-45.394363,-32.38987,highly
31.365427,-18.795382,judgment
-19.003998,-23.837494,directed
-21.898474,0.8759459,chiefly
-25.39658,-15.176966,own
-36.982334,26.84933,The
-25.48339,-3.9753976,real
-46.58676,-18.919905,evils
-25.022015,-33.61519,indeed
-51.390945,-23.552927,situation
-21.07474,13.976996,were
28.815441,-18.768213,power
-19.58093,-12.667034,having
-39.60222,18.538652,rather
-24.023378,-31.704033,much
-10.33623,-23.101332,way
-20.934,-41.21877,think
-22.128088,-30.94364,well
-55.333103,14.209531,herself
8.336577,-0.83788013,these
-32.737038,24.921482,which
-44.32502,-2.1758559,threatened
-39.429176,-10.085899,alloy
4.8561416,3.9365087,many
-34.448204,-14.500272,enjoyments
-36.634907,-22.482824,danger
-59.591072,-16.216541,however
-32.258972,27.742266,at
-39.158215,-19.09144,present
-34.501114,18.26558,so
-16.152166,-10.875163,unperceived
-32.772667,24.92163,that
-21.765862,-48.283257,did
-17.37382,-29.165993,not
-38.07028,-30.209675,means
-33.134415,-13.416998,rank
-15.442127,-8.774743,misfortunes
7.4686975,-29.709923,Sorrow
-31.508547,44.926296,came
-21.007261,24.186789,--
1.8239837,-13.791477,gentle
20.3453,-8.171581,sorrow
-32.310642,26.854359,all
-5.5292826,28.464,shape
-43.864662,-29.686228,disagreeable
-52.62382,-19.592669,consciousness
-23.949024,-38.17794,.--
-28.94924,-46.073338,married
-18.892122,-28.543877,It
-37.76474,-21.547937,loss
-33.65066,16.382288,first
48.24525,-7.8486385,brought
21.213413,-8.70132,grief
-31.742155,28.062101,on
-46.43701,-3.741798,wedding
-2.4316661,7.3962,day
-32.51837,25.004646,this
23.791538,-19.825687,beloved
-26.614887,36.628532,sat
8.944294,25.20907,mournful
-25.19116,-28.257986,thought
